provider,number
Yottaa,5556
Facebook,2147122
SFR,888
Akamai,2361947
GoCache,573
Highwinds,55551
Rev Software,112
jsDelivr,15531
Windows Azure,11935
WordPress Jetpack,311362
section.io,1211
Yahoo,30015
CDNsun,2127
Simple CDN,1
SwiftCDN,1238
CDN77,32423
Taobao,5976
CDN,30867
OVH CDN,31810
ChinaNetCenter,62086
BO.LT,5
Reflected Networks,10633
Fastly,483475
Mirror Image,481
Medianova,4815
Reapleaf,104070
Level 3,71352
Cachefly,13075
Zenedge,733
CDNetworks,134391
ChinaCache,22898
NYI FTW,468
ReSRC.it,121
Amazon CloudFront,984455
Airee,823
Azion,1780
Twitter,2316
Internap,5810
Instart Logic,14471
NGENIX,3863
NetDNA,448656
BitGravity,3598
OnApp,17829
Incapsula,168962
Edgecast,616983
cubeCDN,6049
Google,7094703
Limelight,48236
Cloudflare,2509221
LeaseWeb CDN,7410
